Belanja Pegawai (Rupiah),Penduduk (Jiwa),Luas Daratan (km2),Luas Lautan (km2),Luas Wilayah (km2),IKK,IPM,PDRB/Capita (Rupiah),PAD (Rupiah),DBH Pajak (Rupiah),DBH SDA (Rupiah),Alokasi DAU (Rupiah),Nama Daerah
"491.934.472.317,00","727.994,00","1.037,58","0,00","1.037,58","100,17","69,67","18.859.871,42","163.635.265.620,91","34.853.140.708,00","19.653.461.909,00","877.868.685.000,00",Kab. Madiun
"534.646.514.968,00","687.057,00","688,84","0,00","688,84","101,17","71,94","19.873.405,31","165.617.751.404,46","35.004.723.035,00","18.860.070.479,00","899.960.340.000,00",Kab. Magetan
"878.362.137.295,00","2.464.369,00","3.530,65","652,40","4.183,05","97,29","67,51","22.751.888,40","502.754.981.974,96","93.657.409.657,00","18.934.080.648,00","1.665.195.901.000,00",Kab. Malang
"538.490.215.076,00","1.104.099,00","717,83","0,00","717,83","94,94","71,38","27.842.848,81","447.620.851.328,89","54.993.885.133,00","18.932.102.775,00","973.768.511.000,00",Kab. Mojokerto
"625.014.962.466,00","1.096.944,00","1.224,25","0,00","1.224,25","92,72","70,50","16.596.353,74","323.045.177.741,96","49.290.302.789,00","19.127.887.045,00","1.059.746.429.000,00",Kab. Nganjuk
"630.968.427.691,00","899.495,00","1.295,98","0,00","1.295,98","103,61","68,96","16.709.712,02","195.606.461.846,70","45.874.116.333,00","19.085.771.115,00","1.039.619.057.000,00",Kab. Ngawi
"442.136.094.352,00","582.275,00","1.389,92","476,72","1.866,64","98,53","65,74","19.384.271,98","150.466.067.820,59","31.486.122.831,00","18.944.620.444,00","793.715.346.000,00",Kab. Pacitan
"467.623.281.852,00","811.330,00","792,24","377,65","1.169,89","102,54","63,98","15.216.012,18","178.478.890.963,84","53.121.309.860,00","18.857.652.021,00","849.764.469.000,00",Kab. Pamekasan
"654.292.450.586,00","1.573.202,00","1.474,02","187,29","1.661,31","96,84","65,71","31.712.269,11","480.758.720.671,31","162.556.307.485,00","18.873.664.731,00","1.179.777.625.000,00",Kab. Pasuruan
"633.158.628.422,00","949.280,00","1.305,70","0,00","1.305,70","99,84","68,93","16.165.858,77","240.111.321.573,88","41.858.521.691,00","19.525.031.878,00","1.043.916.636.000,00",Kab. Ponorogo
"513.085.904.116,00","1.103.442,00","1.696,21","531,64","2.227,85","98,04","64,12","19.559.984,66","221.719.364.518,45","57.717.110.415,00","18.905.795.009,00","967.345.237.000,00",Kab. Probolinggo
"415.442.620.329,00","844.872,00","1.233,08","749,28","1.982,36","103,13","59,09","15.294.401,74","135.785.953.318,16","46.800.552.305,00","18.857.564.468,00","825.443.163.000,00",Kab. Sampang
