Belanja Pegawai (Rupiah),Penduduk (Jiwa),Luas Daratan (km2),Luas Lautan (km2),Luas Wilayah (km2),IKK,IPM,PDRB/Capita (Rupiah),PAD (Rupiah),DBH Pajak (Rupiah),DBH SDA (Rupiah),Alokasi DAU (Rupiah),Nama Daerah
"117.580.217.605,00","72.993,00","3.780,56","2.103,88","5.884,44","134,04","62,19","14.637.643,38","26.985.938.551,27","8.491.563.278,00","5.626.201.459,00","421.390.061.000,00",Kab. Buru Selatan
"626.952.778.977,53","4.242.758,00","319.036,05","88.767,66","407.803,71","229,82","58,05","27.187.972,90","1.019.732.912.605,00","277.042.211.807,00","487.428.302.107,00","2.571.298.119.000,00",Provinsi Papua
"235.617.433.212,00","140.631,00","2.602,00","3.937,92","6.539,92","142,21","71,13","34.462.970,89","22.928.633.069,79","18.300.499.970,00","34.238.439.888,00","590.680.088.000,00",Kab. Biak Numfor
"220.402.731.780,00","165.404,00","11.157,15","630,08","11.787,23","137,54","70,50","65.854.520,03","87.394.171.937,46","21.398.556.688,00","34.863.402.420,00","685.569.817.000,00",Kab. Jayapura
"170.769.245.276,00","268.137,00","7.030,66","0,00","7.030,66","290,37","54,96","22.177.713,29","69.994.661.991,00","16.939.183.310,00","34.479.923.307,00","714.016.533.000,00",Kab. Jayawijaya
"271.607.545.935,00","221.886,00","44.071,00","5.932,13","50.003,13","168,31","68,09","50.114.290,51","166.441.748.858,61","33.680.115.266,00","42.275.441.976,00","1.220.130.325.000,00",Kab. Merauke
"220.340.747.860,96","306.517,00","21.633,00","2.740,34","24.373,34","148,00","71,64","33.389.467,65","305.372.673.107,89","229.090.840.578,00","957.575.895.063,00","610.285.895.000,00",Kab. Mimika
"239.630.650.526,32","166.463,00","11.112,61","3.887,93","15.000,54","147,53","66,64","40.348.502,13","51.434.040.465,00","21.531.102.251,00","43.904.738.084,00","709.282.575.000,00",Kab. Nabire
"126.615.997.689,19","117.047,00","6.525,25","0,00","6.525,25","225,31","54,34","25.447.556,79","19.447.945.098,00","12.953.943.794,00","35.134.876.401,00","586.036.724.000,00",Kab. Paniai
"86.870.727.928,52","215.106,00","4.989,51","0,00","4.989,51","436,94","45,49","5.172.193,02","24.744.152.962,67","15.816.877.773,00","36.588.801.301,00","749.825.236.000,00",Kab. Puncak Jaya
"201.623.645.292,03","109.531,00","2.050,00","4.669,62","6.719,62","144,96","65,55","29.543.862,36","57.427.069.525,86","21.037.953.514,00","35.868.307.910,00","547.266.529.000,00",Kab. Kepulauan Yapen                              
"243.425.247.937,00","417.492,00","935,92","464,21","1.400,13","147,06","78,56","60.827.944,57","164.831.615.677,74","38.747.613.833,00","34.241.300.851,00","634.300.774.000,00",Kota Jayapura
"89.163.240.216,62","36.726,00","17.742,00","2.588,82","20.330,82","188,91","61,27","54.599.455,94","28.410.836.673,80","21.305.450.247,00","46.967.591.130,00","711.725.614.000,00",Kab. Sarmi
"119.312.778.248,00","59.406,00","8.390,00","0,00","8.390,00","160,94","64,10","37.010.117,87","63.814.379.209,76","17.045.563.118,00","59.808.445.187,00","545.712.219.000,00",Kab. Keerom
"118.653.593.818,93","349.410,00","17.152,00","0,00","17.152,00","242,78","47,13","5.330.010,63","24.317.485.246,00","16.978.538.805,00","38.656.739.904,00","748.276.221.000,00",Kab. Yahukimo
"106.984.871.816,36","107.353,00","15.682,00","0,00","15.682,00","391,44","41,90","13.715.369,29","20.139.473.413,00","21.834.534.359,00","39.649.778.504,00","851.061.519.000,00",Kab. Pegunungan Bintang
"114.793.177.985,06","246.858,00","5.588,13","0,00","5.588,13","351,23","47,11","5.036.949,29","27.827.703.044,00","16.121.298.155,00","34.241.300.851,00","734.503.655.000,00",Kab. Tolikara
"110.803.664.486,00","58.093,00","27.108,00","0,00","27.108,00","171,29","59,35","51.762.802,40","27.580.049.109,12","23.544.398.669,00","35.999.225.182,00","831.711.325.000,00",Kab. Boven Digoel
"132.584.931.483,99","102.113,00","24.118,00","1.216,17","25.334,17","180,53","56,54","21.236.734,86","21.495.206.401,00","24.178.561.919,00","34.268.986.224,00","781.328.280.000,00",Kab. Mappi
"126.336.428.218,39","103.074,00","31.983,69","1.883,22","33.866,91","231,32","47,31","17.446.349,88","71.346.686.857,94","20.415.673.927,00","36.832.451.480,00","895.264.341.000,00",Kab. Asmat
"94.729.769.333,41","32.541,00","10.977,09","1.499,53","12.476,62","163,01","63,10","50.280.821,13","6.851.483.623,00","22.160.758.958,00","34.237.259.844,00","562.528.293.000,00",Kab. Waropen
"106.354.485.227,00","21.014,00","678,32","2.090,54","2.768,86","150,79","60,59","39.450.996,27","14.487.667.796,50","12.259.717.267,00","34.264.628.051,00","451.175.449.000,00",Kab. Supiori
"63.144.040.263,49","34.558,00","23.813,91","1.600,33","25.414,24","192,76","49,00","34.374.956,77","18.487.764.507,00","35.427.996.181,00","39.557.383.897,00","720.547.800.000,00",Kab. Mamberamo Raya
"77.392.575.339,32","44.788,00","1.275,00","0,00","1.275,00","403,74","44,15","19.964.703,01","14.380.797.668,00","9.176.970.680,00","34.241.300.851,00","635.796.762.000,00",Kab. Mamberamo Tengah
"75.150.109.754,71","118.829,00","1.253,00","0,00","1.253,00","343,90","44,95","7.718.399,69","18.320.960.672,14","9.716.899.857,00","34.241.300.851,00","620.836.641.000,00",Kab. Yalimo
"113.226.474.203,85","197.313,00","2.248,00","0,00","2.248,00","332,92","45,16","11.685.153,12","11.053.461.900,00","10.989.004.971,00","34.241.300.851,00","635.655.130.000,00",Kab. Lanny Jaya
"52.413.809.130,39","106.354,00","2.168,00","0,00","2.168,00","318,34","26,56","8.548.037,01","12.005.560.140,00","10.008.658.522,00","35.647.486.553,00","632.951.682.000,00",Kab. Nduga
"91.631.387.191,83","112.513,00","4.237,40","0,00","4.237,40","209,49","53,32","8.983.587,82","10.405.761.225,00","12.744.618.997,00","34.241.300.851,00","492.099.027.000,00",Kab. Dogiyai
"73.781.713.369,13","158.406,00","8.055,00","0,00","8.055,00","469,96","39,96","6.676.182,62","10.588.067.726,00","15.383.294.380,00","34.241.300.851,00","805.591.888.000,00",Kab. Puncak 
"62.863.977.446,00","137.050,00","3.922,02","0,00","3.922,02","412,52","44,82","7.410.656,13","18.243.656.973,48","12.279.200.577,00","34.241.300.851,00","700.866.324.000,00",Kab. Intan Jaya
"107.568.505.797,00","88.145,00","537,39","0,00","537,39","229,29","48,50","12.046.079,90","7.604.515.308,00","10.568.575.711,00","34.241.300.851,00","475.401.856.000,00",Kab. Deiyai
"406.879.993.369,00","1.275.831,00","31.982,50","92.333,61","124.316,11","120,92","66,63","19.896.327,22","280.150.113.342,76","66.685.954.724,00","20.078.187.744,00","1.331.236.347.000,00",Provinsi Maluku Utara
"128.623.669.968,00","50.164,00","2.653,76","4.062,47","6.716,23","128,01","63,05","27.633.768,18","13.737.492.713,58","19.513.718.758,00","5.412.835.788,00","448.490.415.000,00",Kab. Halmahera Tengah
"315.941.565.681,00","215.524,00","111,39","1.425,15","1.536,54","129,46","77,80","35.408.308,15","69.390.176.544,11","21.780.524.211,00","2.914.054.196,00","610.569.215.000,00",Kota Ternate
"218.507.221.762,00","132.427,00","1.704,20","1.596,04","3.300,24","123,44","63,83","12.756.524,86","25.353.045.666,09","13.528.156.761,00","3.644.769.889,00","493.248.990.000,00",Kab. Halmahera Barat
"132.950.328.973,00","90.924,00","6.571,37","3.546,79","10.118,16","118,52","64,92","19.378.439,63","25.176.739.490,37","73.687.809.776,00","7.997.865.793,00","477.350.304.000,00",Kab. Halmahera Timur
"215.251.287.483,00","247.378,00","8.148,90","14.777,55","22.926,45","109,31","62,17","14.812.937,78","25.137.301.793,77","28.587.212.975,00","17.875.302.985,00","751.125.982.000,00",Kab. Halmahera Selatan
"183.002.560.156,00","194.291,00","3.896,90","2.530,44","6.427,33","124,30","66,02","15.868.150,78","80.809.624.567,55","54.984.845.033,00","21.698.382.763,00","486.052.902.000,00",Kab. Halmahera Utara
"153.898.250.714,00","110.507,00","3.304,32","3.347,85","6.652,17","124,53","61,25","16.548.409,68","20.979.430.590,80","18.479.485.503,00","13.131.450.069,00","480.487.794.000,00",Kab. Kepulauan Sula
"212.464.971.377,00","111.431,00","1.645,73","1.223,42","2.869,15","123,39","68,37","19.886.528,53","38.730.904.763,00","12.325.019.070,00","3.196.295.556,00","545.226.947.000,00",Kota Tidore Kepulauan
"98.858.984.649,00","66.983,00","2.476,00","2.224,33","4.700,33","109,84","59,87","17.749.830,65","7.538.512.480,59","10.332.582.013,00","2.979.217.746,00","391.524.047.000,00",Kab. Pulau Morotai
"43.075.743.874,00","56.202,00","1.469,93","2.733,61","4.203,54","120,19","58,66","18.686.059,80","10.413.059.913,60","7.863.854.836,00","4.160.047.298,00","341.053.281.000,00",Kab. Pulau Taliabu
"606.360.219.342,00","10.382.590,00","9.662,92","11.125,10","20.788,02","97,88","70,96","34.078.900,09","5.463.156.734.851,00","489.941.663.642,00","3.552.366.303,00","1.072.903.468.000,00",Provinsi Banten
"608.133.627.778,00","1.222.258,00","3.426,56","544,15","3.970,71","84,49","62,78","15.800.745,51","304.485.931.937,56","58.017.834.818,00","3.499.385.179,00","1.086.661.291.000,00",Kab. Lebak
"672.857.571.234,00","1.175.148,00","2.746,89","2.834,61","5.581,50","88,40","63,40","16.269.896,10","198.750.877.114,00","51.623.941.364,00","5.843.490.833,00","1.172.374.842.000,00",Kab. Pandeglang
"604.011.238.648,00","1.435.003,00","1.734,28","930,63","2.664,91","97,90","65,12","21.833.847,21","590.865.666.125,00","76.480.039.948,00","2.108.192.043,00","1.078.411.345.000,00",Kab. Serang
"682.057.219.683,00","2.619.803,00","1.011,86","170,70","1.182,56","106,46","70,44","27.114.840,37","2.054.715.995.931,00","160.560.524.382,00","1.276.021.977,00","1.178.485.856.000,00",Kab. Tangerang
"291.691.161.271,00","404.426,00","175,50","458,26","633,76","100,64","72,04","94.187.654,64","567.671.194.175,00","92.797.333.948,00","1.276.021.977,00","598.515.134.000,00",Kota Cilegon
"499.481.629.877,00","1.651.428,00","153,93","0,00","153,93","103,07","76,81","59.967.712,08","1.590.080.330.000,00","192.905.434.524,00","1.276.021.977,00","866.113.340.000,00",Kota Tangerang
"273.072.445.288,00","630.320,00","266,71","25,08","291,79","98,97","71,09","36.394.667,14","126.900.900.019,00","55.624.383.385,00","1.276.021.977,00","636.602.678.000,00",Kota Serang
"290.539.065.117,00","1.244.204,00","147,19","0,00","147,19","105,39","80,11","44.631.855,50","1.346.240.155.744,24","145.771.529.228,00","1.276.021.977,00","572.637.313.000,00",Kota Tangerang Selatan
"292.938.447.458,00","1.332.062,00","16.424,06","39.151,86","55.575,92","101,71","69,55","33.867.781,46","574.258.443.819,77","50.251.504.532,00","92.608.511.813,00","1.018.673.218.000,00",Provinsi  Bangka Belitung
"244.629.967.976,00","312.460,00","2.950,68","1.254,58","4.205,26","98,62","70,43","24.945.910,23","129.059.621.690,70","24.572.826.020,00","58.650.971.696,00","529.693.057.000,00",Kab. Bangka
"193.487.098.188,00","159.349,00","2.293,61","3.607,01","5.900,62","98,07","70,81","40.747.345,73","138.227.681.151,74","22.502.320.006,00","42.911.500.232,00","480.560.681.000,00",Kab. Belitung
"184.540.513.766,00","207.420,00","89,40","47,63","137,03","103,56","76,73","44.506.319,85","136.257.398.973,11","25.631.415.794,00","24.113.668.123,00","443.476.956.000,00",Kota Pangkal Pinang 
"144.507.799.794,00","168.341,00","3.607,08","2.963,25","6.570,33","102,82","64,57","33.506.387,18","46.255.276.506,46","16.837.452.126,00","58.866.310.575,00","466.182.109.000,00",Kab. Bangka Selatan
"152.478.946.308,00","175.064,00","2.155,77","2.261,18","4.416,95","106,75","68,76","31.771.320,97","73.459.526.744,49","14.392.251.589,00","37.076.162.769,00","439.128.449.000,00",Kab. Bangka Tengah
"154.671.853.340,00","189.621,00","2.820,61","1.943,35","4.763,96","105,06","67,60","31.115.701,85","52.662.192.020,01","28.019.398.457,00","42.885.752.294,00","445.168.706.000,00",Kab. Bangka Barat
"150.615.890.421,00","119.807,00","2.506,91","4.344,64","6.851,55","97,50","69,30","36.123.737,08","90.361.562.416,57","21.540.987.631,00","35.679.245.453,00","440.265.288.000,00",Kab. Belitung Timur
"330.440.555.808,00","1.157.325,00","11.257,07","8.772,04","20.029,11","92,76","66,29","26.222.153,79","311.223.202.411,81","26.648.504.549,00","1.290.743.494,00","1.006.924.707.000,00",Provinsi Gorontalo
"170.505.752.522,00","143.689,00","1.521,88","614,02","2.135,90","88,35","63,42","28.471.041,19","48.794.270.892,61","11.564.174.005,00","744.885.895,00","452.535.801.000,00",Kab. Boalemo
"325.248.410.586,00","391.944,00","1.750,83","343,88","2.094,71","93,58","64,22","24.083.375,19","125.271.076.533,68","14.519.977.361,00","1.289.401.248,00","653.986.983.000,00",Kab. Gorontalo
"267.708.376.814,00","196.055,00","79,59","7,35","86,94","92,99","75,75","31.576.225,94","172.315.775.595,42","17.167.368.478,00","653.289.618,00","508.677.825.000,00",Kota Gorontalo
"188.157.333.980,00","141.281,00","4.244,31","1.047,37","5.291,68","95,63","63,17","34.689.464,84","62.981.898.282,00","11.664.491.934,00","2.221.422.455,00","513.389.155.000,00",Kab. Pohuwato
"220.258.766.514,00","160.154,00","1.984,31","402,21","2.386,52","88,27","67,48","20.311.330,04","62.079.454.189,41","15.681.870.989,00","2.271.327.298,00","487.244.817.000,00",Kab. Bone Bolango
"131.386.511.280,00","124.202,00","1.676,15","1.255,74","2.931,89","98,16","63,02","19.954.110,82","24.586.696.146,18","12.720.726.184,00","1.187.588.608,00","402.570.414.000,00",Kab. Gorontalo Utara
"282.041.011.624,00","1.873.274,00","8.201,72","101.858,94","110.060,66","122,72","73,99","55.898.728,21","1.079.309.741.998,68","239.636.609.135,00","277.441.820.821,00","1.150.516.796.000,00",Provinsi Kepulauan Riau                           
"144.702.529.417,00","74.977,00","2.009,04","8.268,77","10.277,81","137,78","71,23","64.470.936,78","53.414.566.343,81","176.630.820.425,00","380.857.878.602,00","368.413.963.000,00",Kab. Natuna
"84.679.944.758,00","43.603,00","590,14","6.339,19","6.929,33","155,84","66,30","55.539.587,81","34.180.165.616,08","90.106.897.581,00","246.513.307.075,00","364.336.885.000,00",Kab. Kepulauan Anambas
"202.976.037.912,00","240.891,00","912,75","3.474,96","4.387,71","119,90","69,84","33.324.166,21","397.442.616.166,84","75.598.665.559,00","96.708.018.189,00","403.184.262.000,00",Kab. Karimun
"314.793.239.426,00","1.062.250,00","960,25","2.963,37","3.923,62","116,47","79,79","55.958.321,88","881.268.969.156,50","153.064.651.287,00","89.778.764.493,00","599.074.016.000,00",Kota Batam
"179.290.451.387,00","207.933,00","144,56","185,39","329,95","116,61","77,77","78.487.276,13","126.045.740.738,15","34.810.691.253,00","90.180.411.769,00","457.366.176.000,00",Kota Tanjung Pinang
"137.965.833.219,00","94.962,00","2.266,77","8.565,26","10.832,03","103,10","62,44","33.064.783,21","21.017.262.864,93","28.955.822.581,00","95.135.579.228,00","455.758.203.000,00",Kab. Lingga
"183.800.132.810,00","148.658,00","1.318,21","6.654,14","7.972,35","116,31","72,38","58.824.313,41","206.292.379.206,78","36.370.501.237,00","90.378.385.803,00","484.586.669.000,00",Kab. Bintan
"263.127.157.142,00","1.106.289,00","99.671,63","104.638,80","204.310,43","140,04","62,21","33.090.044,31","338.811.109.228,89","178.956.654.396,00","170.886.996.539,00","1.431.332.966.000,00",Provinsi Papua Barat
"210.123.505.951,00","84.692,00","11.036,48","4.248,66","15.285,14","135,50","65,55","46.157.509,41","48.072.905.376,72","29.305.484.499,00","39.106.659.868,00","668.545.841.000,00",Kab. Fak Fak
"210.195.323.639,00","185.615,00","3.186,28","1.130,44","4.316,72","131,26","70,34","39.009.746,90","51.522.059.446,38","32.379.907.340,00","27.414.402.165,00","529.220.329.000,00",Kab. Manokwari
"222.543.458.612,00","118.985,00","6.544,23","2.816,77","9.361,00","118,76","62,42","29.115.024,45","78.909.742.414,54","192.121.603.979,00","46.230.143.068,00","512.300.811.000,00",Kab. Sorong
"187.422.632.548,00","275.618,00","656,64","376,26","1.032,90","118,56","76,33","42.426.798,88","94.192.250.218,01","28.431.043.546,00","27.352.759.283,00","471.797.886.000,00",Kota Sorong
"140.532.328.993,00","62.861,00","8.034,44","21.052,56","29.087,00","142,91","61,95","26.009.735,97","49.976.464.584,66","33.715.658.535,00","28.488.410.015,00","666.645.462.000,00",Kab. Raja Ampat
"123.180.345.467,00","57.676,00","6.594,31","1.293,10","7.887,41","125,79","59,20","24.880.530,59","34.368.671.007,26","27.915.811.377,00","32.983.666.492,00","448.077.175.000,00",Kab. Sorong Selatan
"106.698.581.470,00","76.932,00","20.840,83","2.536,95","23.377,78","147,63","61,81","28.229.789,61","53.214.917.710,88","295.818.224.882,00","303.378.732.070,00","549.667.337.000,00",Kab. Teluk Bintuni
"104.591.983.863,00","41.304,00","3.959,53","3.651,54","7.611,07","131,98","57,16","28.508.621,26","11.293.867.633,00","17.939.593.559,00","33.925.077.574,00","444.837.467.000,00",Kab. Teluk Wondama
"103.621.473.402,00","61.370,00","16.241,84","5.234,07","21.475,91","133,64","62,15","32.754.594,60","39.983.149.611,71","21.082.796.756,00","42.498.321.996,00","609.928.253.000,00",Kab. Kaimana
"96.288.747.622,00","41.431,00","5.461,69","0,00","5.461,69","137,56","56,35","13.080.461,01","6.303.471.491,00","13.984.831.253,00","40.204.232.348,00","444.866.529.000,00",Kab. Maybrat
"64.038.257.231,00","28.978,00","11.529,18","1.845,62","13.374,80","162,05","50,35","6.332.692,20","10.348.666.767,25","14.455.183.502,00","26.818.089.565,00","519.425.053.000,00",Kab. Tambrauw
"36.742.448.324,00","34.009,00","2.812,44","607,26","3.419,70","143,12","57,12","18.948.393,17","17.078.239.645,77","13.013.040.301,00","23.228.320.502,00","347.705.874.000,00",Kab. Manokwari Selatan
"38.197.104.876,00","36.818,00","2.773,74","0,00","2.773,74","213,02","53,89","4.288.112,61","6.504.731.093,00","47.368.103.819,00","23.210.902.649,00","380.420.717.000,00",Kab. Pegunungan Arfak
"310.790.425.526,00","1.536.115,00","16.787,18","20.851,84","37.639,02","88,61","63,60","20.798.575,47","277.686.126.681,75","27.854.106.047,00","998.970.244,00","1.025.033.063.000,00",Provinsi Sulawesi Barat
"266.808.001.330,00","166.505,00","947,84","807,12","1.754,96","80,65","64,80","21.226.273,70","50.615.846.995,75","14.836.261.805,00","533.486.626,00","512.162.492.000,00",Kab. Majene
"263.281.192.920,00","297.096,00","4.999,69","4.015,89","9.015,58","85,94","65,65","28.761.695,19","66.800.589.252,87","20.392.362.045,00","1.100.312.306,00","627.775.288.000,00",Kab. Mamuju
"372.417.179.822,00","517.677,00","1.775,65","429,48","2.205,13","83,04","61,51","18.460.835,41","126.047.973.813,73","15.712.808.683,00","1.674.744.983,00","713.339.396.000,00",Kab. Polewali Mandar
"239.307.148.883,00","203.599,00","3.005,88","0,00","3.005,88","95,27","63,51","10.731.998,87","27.487.847.470,78","12.392.434.112,00","2.140.947.376,00","515.625.843.000,00",Kab. Mamasa
"179.420.931.535,00","208.325,00","3.043,75","1.046,08","4.089,83","83,38","65,17","28.608.814,36","27.629.986.868,93","26.021.731.744,00","1.424.780.376,00","483.136.786.000,00",Kab. Mamuju Utara
"80.772.564.174,00","142.913,00","3.014,37","467,98","3.482,35","86,08","62,89","15.959.005,22","17.169.464.180,99","12.874.484.305,00","1.020.492.746,00","347.815.396.000,00",Kab. Mamuju Tengah
"169.542.770.558,00","625.796,00","75.467,70","7.602,33","83.070,03","118,27","69,20","70.588.499,49","507.955.516.972,13","97.701.524.726,00","308.835.074.622,00","1.185.105.787.000,00",Provinsi Kalimantan Utara
"204.389.077.824,00","129.383,00","13.925,72","2.173,78","16.099,50","107,51","69,88","61.211.182,73","101.738.903.187,80","109.682.843.074,00","252.480.402.024,00","497.449.426.000,00",Kab. Bulungan
"175.088.111.362,00","76.836,00","42.620,70","0,00","42.620,70","111,61","70,71","48.919.172,33","52.950.090.446,47","41.381.705.602,00","232.418.614.463,00","798.139.775.000,00",Kab. Malinau
"206.890.722.338,00","174.136,00","13.841,90","1.018,69","14.860,59","114,33","64,35","46.451.206,71","71.767.977.320,12","90.563.981.330,00","269.469.896.690,00","453.241.796.000,00",Kab. Nunukan
"185.602.478.722,00","221.802,00","250,80","384,70","635,50","103,56","74,88","90.485.184,62","62.198.512.278,56","81.276.687.744,00","172.737.795.257,00","380.969.519.000,00",Kota Tarakan
"69.686.036.893,00","23.639,00","4.828,58","654,08","5.482,66","143,23","65,64","130.456.421,22","20.990.208.701,61","30.169.452.262,00","175.687.367.665,00","394.725.005.000,00",Kab. Tana Tidung
